id,title,description,availability,condition,price,link,image_link,brand
13820,Duvy class  vision color tinte rubio oscuro violeta 6.7 x60ml,duvy class  vision color tinte rubio oscuro violeta 6.7 x60ml,in stock,new,14100,https://almacensandra.com.co/product/p-13820-duvy-class-vision-color-tinte-rubio-oscuro-violeta-67-x60ml,https://casandra-static.s3.amazonaws.com/products/13820/81466.jpg,DUVY CLASS
13821,Duvy class  vision color tinte rubio muy claro irisado 9.17 x60ml,duvy class  vision color tinte rubio muy claro irisado 9.17 x60ml,in stock,new,14100,https://almacensandra.com.co/product/p-13821-duvy-class-vision-color-tinte-rubio-muy-claro-irisado-917-x60ml,https://casandra-static.s3.amazonaws.com/products/13821/81467.jpg,DUVY CLASS
13823,Masa  moldeadora -porcelanicròn x250gr,masa  moldeadora -porcelanicròn x250gr,in stock,new,5200,https://almacensandra.com.co/product/p-13823-masa-moldeadora-porcelanicron-x250gr,https://casandra-static.s3.amazonaws.com/products/13823/81471.jpg,ALMACEN SINCELEJO
13824,Belotti ampolla ablandadora de canas x25ml,belotti ampolla ablandadora de canas x25ml,in stock,new,5600,https://almacensandra.com.co/product/p-13824-belotti-ampolla-ablandadora-de-canas-x25ml,https://casandra-static.s3.amazonaws.com/products/13824/81473.jpg,null
13847,Star uñas postizas cut out transparente x 100und,star uñas postizas cut out transparente x 100und,in stock,new,8000,https://almacensandra.com.co/product/p-13847-star-unas-postizas-cut-out-transparente-x-100und,https://casandra-static.s3.amazonaws.com/products/13847/81501.jpg,ADORO
13863,Maxybelt esmalte fel color  impredecible x 13ml,maxybelt esmalte fel color  impredecible x 13ml,in stock,new,8200,https://almacensandra.com.co/product/p-13863-maxybelt-esmalte-fel-color-impredecible-x-13ml,https://casandra-static.s3.amazonaws.com/products/13863/81525.jpg,MAXIBELT
13864,Maxybelt esmalte fel color  fabulosa x 13ml,maxybelt esmalte fel color  fabulosa x 13ml,in stock,new,8200,https://almacensandra.com.co/product/p-13864-maxybelt-esmalte-fel-color-fabulosa-x-13ml,https://casandra-static.s3.amazonaws.com/products/13864/81526.jpg,MAXIBELT
13873,Haskell murumuru mascara manteiga hidratante x 1kg,haskell murumuru mascara manteiga hidratante x 1kg,in stock,new,111100,https://almacensandra.com.co/product/p-13873-haskell-murumuru-mascara-manteiga-hidratante-x-1kg,https://casandra-static.s3.amazonaws.com/products/13873/81552.jpg,null
13875,Haskell mandioca mascarilla hidratante x 250gr,haskell mandioca mascarilla hidratante x 250gr,in stock,new,51600,https://almacensandra.com.co/product/p-13875-haskell-mandioca-mascarilla-hidratante-x-250gr,https://casandra-static.s3.amazonaws.com/products/13875/81554.jpg,null
13876,Haskell mandioca shampoo hidratante cabellos opacos x 250gr,haskell mandioca shampoo hidratante cabellos opacos x 250gr,in stock,new,40900,https://almacensandra.com.co/product/p-13876-haskell-mandioca-shampoo-hidratante-cabellos-opacos-x-250gr,https://casandra-static.s3.amazonaws.com/products/13876/81555.jpg,null
13877,Haskell mandioca condicionador hidratante cabellos opacos x 300gr,haskell mandioca condicionador hidratante cabellos opacos x 300gr,in stock,new,49700,https://almacensandra.com.co/product/p-13877-haskell-mandioca-condicionador-hidratante-cabellos-opacos-x-300gr,https://casandra-static.s3.amazonaws.com/products/13877/81556.jpg,null
13878,Haskell tutano acondicionador fuerza y nutricion cabellos fragiles x 300gr,haskell tutano acondicionador fuerza y nutricion cabellos fragiles x 300gr,in stock,new,40900,https://almacensandra.com.co/product/p-13878-haskell-tutano-acondicionador-fuerza-y-nutricion-cabellos-fragiles-x-300gr,https://casandra-static.s3.amazonaws.com/products/13878/81557.jpg,null
13880,Haskell tutano mascarilla fuerza y nutricion cabellos fragiles x 250gr,haskell tutano mascarilla fuerza y nutricion cabellos fragiles x 250gr,in stock,new,49100,https://almacensandra.com.co/product/p-13880-haskell-tutano-mascarilla-fuerza-y-nutricion-cabellos-fragiles-x-250gr,https://casandra-static.s3.amazonaws.com/products/13880/81559.jpg,null
13882,Haskell ametista acondicionador matizador rubios y grises x 300gr,haskell ametista acondicionador matizador rubios y grises x 300gr,in stock,new,50300,https://almacensandra.com.co/product/p-13882-haskell-ametista-acondicionador-matizador-rubios-y-grises-x-300gr,https://casandra-static.s3.amazonaws.com/products/13882/81561.jpg,null
13883,Haskell ametista shampoo matizador rubios y grisesx 300gr,haskell ametista shampoo matizador rubios y grisesx 300gr,in stock,new,51200,https://almacensandra.com.co/product/p-13883-haskell-ametista-shampoo-matizador-rubios-y-grisesx-300gr,https://casandra-static.s3.amazonaws.com/products/13883/81562.jpg,null
13884,Haskell ametista mascarilla matizadora rubios y grises x 250gr,haskell ametista mascarilla matizadora rubios y grises x 250gr,in stock,new,53500,https://almacensandra.com.co/product/p-13884-haskell-ametista-mascarilla-matizadora-rubios-y-grises-x-250gr,https://casandra-static.s3.amazonaws.com/products/13884/81563.jpg,null
13885,Haskell cavalo forte mascarilla fuerza y brillo x 250gr,haskell cavalo forte mascarilla fuerza y brillo x 250gr,in stock,new,57800,https://almacensandra.com.co/product/p-13885-haskell-cavalo-forte-mascarilla-fuerza-y-brillo-x-250gr,https://casandra-static.s3.amazonaws.com/products/13885/81564.jpg,null
